;ORIGIN;DEST;Quarter;TotalPax;TotalFare;AverageFare;Year
1523;BOS;LAS;1;4535;1125376.97;248.15368688;2013
1524;BOS;LAX;1;9559;2620428.7;274.13209541;2013
1525;BOS;LGA;1;6387;1498017.79;234.5416925;2013
1526;BOS;MCO;1;11711;2007627.46;171.43091623;2013
1527;BOS;MIA;1;4553;1041903.25;228.83884252;2013
1528;BOS;MSP;1;3052;896513.17;293.74612385;2013
1529;BOS;ORD;1;9266;1547414.81;166.99922404;2013
1530;BOS;PHL;1;4563;1279710.23;280.45369932;2013
1531;BOS;PHX;1;3912;945202.62;241.61621166;2013
1532;BOS;SEA;1;2720;757398.93;278.45548897;2013
1533;BOS;SFO;1;10399;3512957.55;337.8168622;2013
1534;CLT;ATL;1;2367;302111.99;127.63497676;2013
1535;CLT;BOS;1;4414;630464.88;142.83300408;2013
1536;CLT;DEN;1;1691;498743.66;294.94007096;2013
1537;CLT;DFW;1;2863;828589.67;289.41308767;2013
1538;CLT;DTW;1;1462;429771.53;293.96137483;2013
1539;CLT;EWR;1;2799;593051.45;211.87976063;2013
1540;CLT;IAH;1;1408;454779.47;322.99678267;2013
1541;CLT;JFK;1;2272;283382.61;124.72826144;2013
1542;CLT;LAS;1;2741;700412.46;255.53172565;2013
1543;CLT;LAX;1;2445;783902.17;320.61438446;2013
1544;CLT;LGA;1;8089;1092245.91;135.02854617;2013
1545;CLT;MCO;1;2611;576754.5;220.89410188;2013
1546;CLT;MIA;1;1366;338395.48;247.72729136;2013
1547;CLT;MSP;1;1475;459980.31;311.85105763;2013
1548;CLT;ORD;1;3314;880910.32;265.81482197;2013
1549;CLT;PHL;1;2498;654877.75;262.16082866;2013
1550;CLT;PHX;1;1914;576567.04;301.23669801;2013
1551;CLT;SEA;1;1003;290820.44;289.95058824;2013
1552;CLT;SFO;1;1964;712039.05;362.54534114;2013
1553;DEN;ATL;1;7220;1219982.82;168.97268975;2013
1554;DEN;BOS;1;5021;1186149.29;236.23765983;2013
1555;DEN;CLT;1;1599;465614.01;291.19075047;2013
1556;DEN;DFW;1;9852;1410623.11;143.18139566;2013
1557;DEN;DTW;1;3949;680793.83;172.39651304;2013
1558;DEN;EWR;1;4067;1004497.66;246.98737644;2013
1559;DEN;IAH;1;5921;1378381.29;232.79535383;2013
1560;DEN;JFK;1;1513;267457.88;176.77321877;2013
1561;DEN;LAS;1;12236;1486780.56;121.50870873;2013
1562;DEN;LAX;1;9982;1702858.12;170.59287918;2013
