;AverageFare;Ref
3276;0;13 13 1 201
3277;0;13 13 2 201
3278;0;13 13 3 201
3279;0;13 13 4 201
3280;0;13 13 1 201
3281;0;13 13 2 201
3282;0;13 13 3 201
3283;0;13 13 4 201
3284;0;13 13 1 201
3285;0;13 13 2 201
3286;0;13 13 3 201
3287;0;13 13 4 201
3288;317;13 14 1 201
3289;317;13 14 2 201
3290;317;13 14 3 201
3291;317;13 14 4 201
3292;172;13 14 1 201
3293;172;13 14 2 201
3294;172;13 14 3 201
3295;172;13 14 4 201
3296;172;13 14 1 201
3297;172;13 14 2 201
3298;317;13 14 3 201
3299;317;13 14 4 201
3300;380;13 15 1 201
3301;380;13 15 2 201
3302;380;13 15 3 201
3303;380;13 15 4 201
3304;172;13 15 1 201
3305;172;13 15 2 201
3306;172;13 15 3 201
3307;172;13 15 4 201
3308;172;13 15 1 201
3309;172;13 15 2 201
3310;380;13 15 3 201
3311;380;13 15 4 201
3312;301;13 16 1 201
3313;301;13 16 2 201
3314;301;13 16 3 201
3315;301;13 16 4 201
3316;172;13 16 1 201
3317;172;13 16 2 201
3318;172;13 16 3 201
3319;172;13 16 4 201
3320;172;13 16 1 201
3321;172;13 16 2 201
3322;301;13 16 3 201
3323;301;13 16 4 201
3324;119;13 17 1 201
3325;119;13 17 2 201
3326;119;13 17 3 201
3327;119;13 17 4 201
3328;172;13 17 1 201
3329;172;13 17 2 201
3330;172;13 17 3 201
3331;172;13 17 4 201
3332;172;13 17 1 201
3333;119;13 17 2 201
3334;119;13 17 3 201
3335;119;13 17 4 201
3336;168;13 18 1 201
3337;168;13 18 2 201
3338;168;13 18 3 201
3339;168;13 18 4 201
3340;172;13 18 1 201
3341;172;13 18 2 201
3342;172;13 18 3 201
3343;172;13 18 4 201
3344;172;13 18 1 201
3345;172;13 18 2 201
3346;168;13 18 3 201
3347;168;13 18 4 201
3348;0;13 19 1 201
3349;0;13 19 2 201
3350;0;13 19 3 201
3351;0;13 19 4 201
3352;0;13 19 1 201
3353;0;13 19 2 201
3354;0;13 19 3 201
3355;0;13 19 4 201
3356;0;13 19 1 201
3357;0;13 19 2 201
3358;0;13 19 3 201
3359;0;13 19 4 201
3360;284;14 0 1 2011
3361;284;14 0 2 2011
3362;284;14 0 3 2011
3363;284;14 0 4 2011
3364;172;14 0 1 2012
3365;172;14 0 2 2012
3366;172;14 0 3 2012
3367;172;14 0 4 2012
3368;172;14 0 1 2013
3369;172;14 0 2 2013
3370;284;14 0 3 2013
3371;284;14 0 4 2013
3372;259;14 1 1 2011
3373;259;14 1 2 2011
3374;259;14 1 3 2011
3375;259;14 1 4 2011
3376;172;14 1 1 2012
3377;172;14 1 2 2012
3378;172;14 1 3 2012
3379;172;14 1 4 2012
3380;172;14 1 1 2013
3381;172;14 1 2 2013
3382;259;14 1 3 2013
3383;259;14 1 4 2013
3384;172;14 2 1 2011
3385;172;14 2 2 2011
3386;172;14 2 3 2011
3387;172;14 2 4 2011
3388;172;14 2 1 2012
3389;172;14 2 2 2012
3390;172;14 2 3 2012
3391;172;14 2 4 2012
3392;172;14 2 1 2013
3393;172;14 2 2 2013
3394;172;14 2 3 2013
3395;172;14 2 4 2013
3396;257;14 3 1 2011
3397;257;14 3 2 2011
3398;257;14 3 3 2011
3399;257;14 3 4 2011
3400;172;14 3 1 2012
3401;172;14 3 2 2012
3402;172;14 3 3 2012
3403;172;14 3 4 2012
3404;172;14 3 1 2013
3405;172;14 3 2 2013
3406;257;14 3 3 2013
3407;257;14 3 4 2013
3408;172;14 4 1 2011
3409;172;14 4 2 2011
3410;172;14 4 3 2011
3411;172;14 4 4 2011
3412;172;14 4 1 2012
3413;172;14 4 2 2012
3414;172;14 4 3 2012
3415;172;14 4 4 2012
3416;172;14 4 1 2013
3417;172;14 4 2 2013
3418;172;14 4 3 2013
3419;172;14 4 4 2013
3420;270;14 5 1 2011
3421;270;14 5 2 2011
3422;270;14 5 3 2011
3423;270;14 5 4 2011
3424;172;14 5 1 2012
3425;172;14 5 2 2012
3426;172;14 5 3 2012
3427;172;14 5 4 2012
3428;172;14 5 1 2013
3429;172;14 5 2 2013
3430;270;14 5 3 2013
3431;270;14 5 4 2013
3432;163;14 6 1 2011
3433;163;14 6 2 2011
3434;163;14 6 3 2011
3435;163;14 6 4 2011
3436;172;14 6 1 2012
3437;172;14 6 2 2012
3438;172;14 6 3 2012
3439;172;14 6 4 2012
3440;172;14 6 1 2013
3441;172;14 6 2 2013
3442;163;14 6 3 2013
3443;163;14 6 4 2013
3444;304;14 7 1 2011
3445;304;14 7 2 2011
3446;304;14 7 3 2011
3447;304;14 7 4 2011
3448;172;14 7 1 2012
3449;172;14 7 2 2012
3450;172;14 7 3 2012
3451;172;14 7 4 2012
3452;172;14 7 1 2013
3453;172;14 7 2 2013
3454;304;14 7 3 2013
3455;304;14 7 4 2013
3456;159;14 8 1 2011
3457;159;14 8 2 2011
3458;159;14 8 3 2011
3459;159;14 8 4 2011
3460;172;14 8 1 2012
3461;172;14 8 2 2012
3462;172;14 8 3 2012
3463;172;14 8 4 2012
3464;172;14 8 1 2013
3465;172;14 8 2 2013
3466;159;14 8 3 2013
3467;159;14 8 4 2013
3468;196;14 9 1 2011
3469;196;14 9 2 2011
3470;196;14 9 3 2011
3471;196;14 9 4 2011
3472;172;14 9 1 2012
3473;172;14 9 2 2012
3474;172;14 9 3 2012
3475;172;14 9 4 2012
3476;172;14 9 1 2013
3477;172;14 9 2 2013
3478;196;14 9 3 2013
3479;196;14 9 4 2013
3480;271;14 10 1 201
3481;271;14 10 2 201
3482;271;14 10 3 201
3483;271;14 10 4 201
3484;172;14 10 1 201
3485;172;14 10 2 201
3486;172;14 10 3 201
3487;172;14 10 4 201
3488;172;14 10 1 201
3489;172;14 10 2 201
3490;271;14 10 3 201
3491;271;14 10 4 201
3492;321;14 11 1 201
3493;321;14 11 2 201
3494;321;14 11 3 201
3495;321;14 11 4 201
3496;172;14 11 1 201
3497;172;14 11 2 201
3498;172;14 11 3 201
3499;172;14 11 4 201
3500;172;14 11 1 201
3501;172;14 11 2 201
3502;321;14 11 3 201
3503;321;14 11 4 201
3504;275;14 12 1 201
3505;275;14 12 2 201
3506;275;14 12 3 201
3507;275;14 12 4 201
3508;172;14 12 1 201
3509;172;14 12 2 201
3510;172;14 12 3 201
3511;172;14 12 4 201
3512;172;14 12 1 201
3513;172;14 12 2 201
3514;275;14 12 3 201
3515;275;14 12 4 201
3516;323;14 13 1 201
3517;323;14 13 2 201
3518;323;14 13 3 201
3519;323;14 13 4 201
3520;172;14 13 1 201
3521;172;14 13 2 201
3522;172;14 13 3 201
3523;172;14 13 4 201
3524;172;14 13 1 201
3525;172;14 13 2 201
3526;323;14 13 3 201
3527;323;14 13 4 201
3528;0;14 14 1 201
3529;0;14 14 2 201
3530;0;14 14 3 201
3531;0;14 14 4 201
3532;0;14 14 1 201
3533;0;14 14 2 201
3534;0;14 14 3 201
3535;0;14 14 4 201
3536;0;14 14 1 201
3537;0;14 14 2 201
3538;0;14 14 3 201
3539;0;14 14 4 201
3540;230;14 15 1 201
3541;230;14 15 2 201
3542;230;14 15 3 201
3543;230;14 15 4 201
3544;172;14 15 1 201
3545;172;14 15 2 201
3546;172;14 15 3 201
3547;172;14 15 4 201
3548;172;14 15 1 201
3549;172;14 15 2 201
3550;230;14 15 3 201
3551;230;14 15 4 201
3552;316;14 16 1 201
3553;316;14 16 2 201
3554;316;14 16 3 201
3555;316;14 16 4 201
3556;172;14 16 1 201
3557;172;14 16 2 201
3558;172;14 16 3 201
3559;172;14 16 4 201
3560;172;14 16 1 201
3561;172;14 16 2 201
3562;316;14 16 3 201
